timestamp,event,kind,key
2025-09-24T23:59:28.189028,press,char,g
2025-09-24T23:59:28.375124,press,char,s
2025-09-24T23:59:28.387905,press,char,w
2025-09-24T23:59:28.699167,press,char,d
2025-09-24T23:59:28.741733,press,char,f
2025-09-24T23:59:28.890470,press,char,g
2025-09-24T23:59:28.904173,press,char,t
2025-09-24T23:59:29.029853,press,char,w
2025-09-24T23:59:29.190548,press,char,r
2025-09-24T23:59:35.264431,press,special,Key.ctrl_l
2025-09-24T23:59:50.687680,press,special,Key.ctrl_l
2025-09-24T23:59:51.209747,press,char,
2025-09-24T23:59:51.824399,press,special,Key.enter
2025-09-25T00:00:02.300767,press,char,a
2025-09-25T00:00:02.446476,press,char,d
2025-09-25T00:00:02.628753,press,char,m
2025-09-25T00:00:02.863105,press,char,i
2025-09-25T00:00:03.069905,press,char,n
2025-09-25T00:00:05.708828,press,char,p
2025-09-25T00:00:06.137785,press,char,a
2025-09-25T00:00:06.361721,press,char,s
2025-09-25T00:00:06.954411,press,char,s
2025-09-25T00:00:07.230211,press,char,w
2025-09-25T00:00:07.487648,press,char,o
2025-09-25T00:00:07.663780,press,char,r
2025-09-25T00:00:07.912761,press,char,d
2025-09-25T00:00:08.159322,press,char,1
2025-09-25T00:00:08.264903,press,char,2
2025-09-25T00:00:08.489750,press,char,3
2025-09-25T00:00:08.659239,press,special,Key.enter
2025-09-25T00:00:13.724894,press,char,s
2025-09-25T00:00:13.901139,press,char,k
2025-09-25T00:00:14.016404,press,char,d
2025-09-25T00:00:14.795780,press,char,d
2025-09-25T00:00:15.005150,press,char,d
2025-09-25T00:00:15.263544,press,char,d
2025-09-25T00:00:15.864633,press,char,2
2025-09-25T00:00:16.032725,press,char,3
2025-09-25T00:00:16.208472,press,char,2
2025-09-25T00:00:16.291789,press,char,4
2025-09-25T00:00:21.657104,press,char,3
2025-09-25T00:00:21.788588,press,char,4
2025-09-25T00:00:22.003212,press,char,5
2025-09-25T00:00:22.222048,press,char,6
2025-09-25T00:00:43.332098,press,char,h
2025-09-25T00:00:43.474593,press,char,o
2025-09-25T00:00:43.634394,press,char,w
2025-09-25T00:00:43.796171,press,special,Key.space
2025-09-25T00:00:43.948551,press,char,t
2025-09-25T00:00:44.259297,press,special,Key.backspace
2025-09-25T00:00:44.422732,press,char,r
2025-09-25T00:00:44.568842,press,char,u
2025-09-25T00:00:44.755576,press,char,n
2025-09-25T00:00:44.899146,press,special,Key.space
2025-09-25T00:00:44.992964,press,char,t
2025-09-25T00:00:45.073831,press,char,h
2025-09-25T00:00:45.286104,press,char,e
2025-09-25T00:00:45.408829,press,special,Key.space
2025-09-25T00:00:46.018804,press,char,c
2025-09-25T00:00:46.142995,press,char,h
2025-09-25T00:00:46.238514,press,char,a
2025-09-25T00:00:46.745398,press,char,t
2025-09-25T00:00:47.478661,press,char,b
2025-09-25T00:00:47.605791,press,char,a
2025-09-25T00:00:47.695846,press,char,s
2025-09-25T00:00:47.949670,press,char,e
2025-09-25T00:00:48.130748,press,char,d
2025-09-25T00:00:48.247262,press,special,Key.space
2025-09-25T00:00:48.387190,press,char,a
2025-09-25T00:00:48.486084,press,char,s
2025-09-25T00:00:48.630037,press,special,Key.space
2025-09-25T00:00:48.903840,press,char,n
2025-09-25T00:00:49.165815,press,char,o
2025-09-25T00:00:49.313875,press,char,t
2025-09-25T00:00:49.450628,press,special,Key.space
2025-09-25T00:00:49.893850,press,char,s
2025-09-25T00:00:50.062963,press,char,h
2025-09-25T00:00:50.299632,press,char,o
2025-09-25T00:00:50.406800,press,char,w
2025-09-25T00:00:50.546977,press,char,i
2025-09-25T00:00:50.732780,press,char,n
2025-09-25T00:00:50.855477,press,char,g
2025-09-25T00:00:50.986064,press,special,Key.enter
2025-09-25T00:01:05.465871,press,special,Key.ctrl_l
2025-09-25T00:01:06.016014,press,char,
2025-09-25T00:01:06.378589,press,special,Key.ctrl_l
2025-09-25T00:01:06.943574,press,char,
2025-09-25T00:01:08.321241,press,special,Key.ctrl_l
2025-09-25T00:01:08.587826,press,char,
2025-09-25T00:01:08.919662,press,special,Key.space
2025-09-25T00:01:09.144614,press,special,Key.space
2025-09-25T00:01:09.536618,press,char,u
2025-09-25T00:01:09.770580,press,char,p
2025-09-25T00:01:09.916334,press,char,d
2025-09-25T00:01:09.971109,press,char,a
2025-09-25T00:01:10.203682,press,char,t
2025-09-25T00:01:10.271298,press,char,e
2025-09-25T00:01:10.436308,press,special,Key.space
2025-09-25T00:01:10.561216,press,char,t
2025-09-25T00:01:10.654062,press,char,h
2025-09-25T00:01:10.831830,press,char,i
2025-09-25T00:01:10.938480,press,char,s
2025-09-25T00:01:11.072383,press,special,Key.space
2025-09-25T00:01:35.567958,press,special,Key.shift_r
2025-09-25T00:01:36.950209,press,char,a
2025-09-25T00:01:37.172143,press,char,c
2025-09-25T00:01:37.331925,press,char,c
2025-09-25T00:01:37.498945,press,char,o
2025-09-25T00:01:37.628952,press,char,r
2025-09-25T00:01:37.799343,press,char,d
2025-09-25T00:01:37.874712,press,char,i
2025-09-25T00:01:38.080198,press,char,n
2025-09-25T00:01:38.143779,press,char,g
2025-09-25T00:01:38.316762,press,special,Key.space
2025-09-25T00:01:38.400379,press,char,t
2025-09-25T00:01:38.460645,press,char,o
2025-09-25T00:01:38.716296,press,special,Key.space
2025-09-25T00:01:38.816343,press,char,t
2025-09-25T00:01:38.964718,press,char,h
2025-09-25T00:01:39.065449,press,char,e
2025-09-25T00:01:39.175174,press,special,Key.space
2025-09-25T00:01:39.782769,press,char,c
2025-09-25T00:01:39.912248,press,char,h
2025-09-25T00:01:40.000706,press,char,a
2025-09-25T00:01:40.268651,press,char,t
2025-09-25T00:01:40.415308,press,special,Key.enter
2025-09-25T00:01:58.862990,press,special,Key.ctrl_l
2025-09-25T00:01:59.138647,press,char,
2025-09-25T00:01:59.436357,press,special,Key.ctrl_l
2025-09-25T00:01:59.958854,press,char,
2025-09-25T00:02:00.434373,press,special,Key.ctrl_l
2025-09-25T00:02:00.922415,press,char,
2025-09-25T00:02:12.301675,press,special,Key.ctrl_l
2025-09-25T00:02:12.629499,press,char,
2025-09-25T00:02:29.052260,press,char,a
2025-09-25T00:02:29.205251,press,char,d
2025-09-25T00:02:29.367355,press,char,m
2025-09-25T00:02:29.589652,press,char,i
2025-09-25T00:02:29.706048,press,char,n
2025-09-25T00:02:32.000016,press,char,p
2025-09-25T00:02:32.156005,press,char,a
2025-09-25T00:02:32.401569,press,char,s
2025-09-25T00:02:32.566399,press,char,s
2025-09-25T00:02:32.769168,press,char,w
2025-09-25T00:02:33.001272,press,char,o
2025-09-25T00:02:33.175871,press,char,r
2025-09-25T00:02:33.405427,press,char,d
2025-09-25T00:02:34.171946,press,char,1
2025-09-25T00:02:34.298219,press,char,2
2025-09-25T00:02:34.508373,press,char,3
2025-09-25T00:02:34.724857,press,special,Key.enter
2025-09-25T00:03:01.201196,press,special,Key.ctrl_l
2025-09-25T00:03:01.639327,press,char,
2025-09-25T00:03:04.615420,press,special,Key.ctrl_l
2025-09-25T00:03:05.147245,press,char,
2025-09-25T00:03:08.812265,press,special,Key.ctrl_l
2025-09-25T00:03:09.180092,press,char,
2025-09-25T00:03:11.581529,press,special,Key.ctrl_l
2025-09-25T00:03:11.983921,press,char,
2025-09-25T00:03:14.157302,press,special,Key.ctrl_l
2025-09-25T00:03:14.540099,press,char,
2025-09-25T00:04:02.685607,press,special,Key.ctrl_l
2025-09-25T00:04:02.853443,press,char,
2025-09-25T00:04:03.135089,press,special,Key.ctrl_l
2025-09-25T00:04:03.572636,press,char,
2025-09-25T00:04:06.788457,press,special,Key.ctrl_l
2025-09-25T00:04:07.158373,press,char,
2025-09-25T00:04:07.505472,press,special,Key.space
2025-09-25T00:04:07.706390,press,special,Key.space
2025-09-25T00:04:08.312438,press,char,f
2025-09-25T00:04:08.443531,press,char,i
2025-09-25T00:04:08.572853,press,char,r
2025-09-25T00:04:08.783025,press,char,s
2025-09-25T00:04:09.050846,press,char,t
2025-09-25T00:04:09.105140,press,special,Key.space
2025-09-25T00:04:09.266164,press,char,t
2025-09-25T00:04:09.356178,press,char,o
2025-09-25T00:04:09.496407,press,char,t
2025-09-25T00:04:09.556080,press,special,Key.space
2025-09-25T00:04:09.803126,press,char,h
2025-09-25T00:04:09.905183,press,char,e
2025-09-25T00:04:10.067309,press,special,Key.space
2025-09-25T00:04:10.788782,press,char,s
2025-09-25T00:04:11.501940,press,char,e
2025-09-25T00:04:11.722603,press,char,l
2025-09-25T00:04:11.751259,press,char,e
2025-09-25T00:04:11.952202,press,char,c
2025-09-25T00:04:12.196654,press,char,t
2025-09-25T00:04:12.284234,press,char,i
2025-09-25T00:04:12.447587,press,char,o
2025-09-25T00:04:12.528749,press,char,n
2025-09-25T00:04:12.694618,press,special,Key.space
2025-09-25T00:04:12.890408,press,char,p
2025-09-25T00:04:12.958791,press,char,a
2025-09-25T00:04:13.228748,press,char,g
2025-09-25T00:04:13.295949,press,char,e
2025-09-25T00:04:13.445175,press,special,Key.enter
2025-09-25T00:04:32.680923,press,special,Key.ctrl_l
2025-09-25T00:04:33.114399,press,char,
2025-09-25T00:04:33.612552,press,special,Key.space
2025-09-25T00:04:33.801533,press,special,Key.space
2025-09-25T00:04:34.019750,press,special,Key.space
2025-09-25T00:04:34.732238,press,char,f
2025-09-25T00:04:34.899597,press,char,i
2025-09-25T00:04:35.113570,press,char,r
2025-09-25T00:04:35.333422,press,char,s
2025-09-25T00:04:35.425512,press,char,s
2025-09-25T00:04:35.615698,press,char,t
2025-09-25T00:04:35.864849,press,special,Key.space
2025-09-25T00:04:36.130109,press,char,g
2025-09-25T00:04:36.239173,press,char,i
2025-09-25T00:04:36.386879,press,char,v
2025-09-25T00:04:36.500609,press,char,e
2025-09-25T00:04:36.585841,press,special,Key.space
2025-09-25T00:04:36.733762,press,char,t
2025-09-25T00:04:36.842066,press,char,h
2025-09-25T00:04:36.931015,press,char,e
2025-09-25T00:04:37.046924,press,special,Key.space
2025-09-25T00:04:37.207465,press,char,s
2025-09-25T00:04:37.371294,press,char,l
2025-09-25T00:04:37.433027,press,char,e
2025-09-25T00:04:37.604676,press,char,e
2025-09-25T00:04:37.622071,press,char,l
2025-09-25T00:04:37.788077,press,char,c
2025-09-25T00:04:38.004669,press,char,t
2025-09-25T00:04:38.048697,press,char,i
2025-09-25T00:04:38.226831,press,char,o
2025-09-25T00:04:38.299644,press,char,n
2025-09-25T00:04:38.409606,press,special,Key.space
2025-09-25T00:04:38.617187,press,char,p
2025-09-25T00:04:38.666586,press,char,a
2025-09-25T00:04:38.923688,press,char,g
2025-09-25T00:04:38.978804,press,char,e
2025-09-25T00:04:39.096973,press,special,Key.space
2025-09-25T00:04:39.232346,press,char,t
2025-09-25T00:04:39.301721,press,char,o
2025-09-25T00:04:39.776133,press,special,Key.space
2025-09-25T00:04:39.866553,press,char,s
2025-09-25T00:04:40.076274,press,char,e
2025-09-25T00:04:40.187823,press,char,l
2025-09-25T00:04:40.266042,press,char,e
2025-09-25T00:04:40.485958,press,char,c
2025-09-25T00:04:40.709736,press,char,t
2025-09-25T00:04:40.895010,press,special,Key.space
2025-09-25T00:04:41.036866,press,char,t
2025-09-25T00:04:41.172013,press,char,h
2025-09-25T00:04:41.278795,press,char,e
2025-09-25T00:04:41.398981,press,special,Key.space
2025-09-25T00:04:41.601712,press,char,s
2025-09-25T00:04:41.717429,press,char,i
2025-09-25T00:04:41.928748,press,char,m
2025-09-25T00:04:42.128621,press,char,u
2025-09-25T00:04:42.249421,press,char,a
2025-09-25T00:04:42.379618,press,char,l
2025-09-25T00:04:42.536547,press,char,t
2025-09-25T00:04:42.619941,press,char,i
2025-09-25T00:04:42.781017,press,char,o
2025-09-25T00:04:42.878825,press,char,n
2025-09-25T00:04:43.012516,press,special,Key.enter
2025-09-25T00:05:24.926099,press,char,x
2025-09-25T00:05:25.072777,press,char,k
2025-09-25T00:05:25.144396,press,char,x
2025-09-25T00:05:25.325577,press,char,k
2025-09-25T00:05:25.361176,press,char,x
2025-09-25T00:05:25.524972,press,char,k
2025-09-25T00:05:25.554430,press,char,x
2025-09-25T00:05:25.704243,press,char,k
2025-09-25T00:05:25.735453,press,char,c
2025-09-25T00:05:25.873611,press,char,k
2025-09-25T00:05:25.918746,press,char,c
2025-09-25T00:05:26.068128,press,char,k
2025-09-25T00:05:26.146464,press,char,r
2025-09-25T00:05:26.792367,press,char,f
2025-09-25T00:05:26.859491,press,char,d
2025-09-25T00:05:26.885056,press,char,e
2025-09-25T00:05:26.982122,press,char,f
2025-09-25T00:05:27.264201,press,char,s
2025-09-25T00:05:43.593344,press,char,a
